tage,zeiten,stage,bandname,genre,spotify-link,gscore
"Do","16:00-16:40","","Last Instance","Rock / Metal aus Hankensbüttel","https://open.spotify.com/search/Last%20Instance%20Behind%20My%20Lies","20"
"Do","17:00-17:40","","Orage","Sci-Fi (sic!) Metal aus Bochum; Metality Supp, FF","https://open.spotify.com/search/Orage%20Space%20Rebels","30"
"Do","18:00-18:40","","Tortuga","Piraten Folk Heavy Metal FF","https://open.spotify.com/search/Tortuga%20Kiss%20Of%20The%20Gauntlet","30"
"Do","19:00-19:40","","Wolves Of War","Industrial Symphonic Death aus Elmshorn","https://open.spotify.com/search/Wolves%20Of%20War%20Fenrir","60"
"Do","20:00-20:45","","We Are Perspectives","Deathcore aus Münster","https://open.spotify.com/search/We%20Are%20Perspectives%20SILENT%20DECISIONS","60"
"Do","21:05-22:05","","Defacing God","Blackened Death Metal aus Dänemark FF","https://open.spotify.com/search/Defacing%20God%20It%20Comes%20at%20Night","80"
"Do","22:25-23:40","","Traitor","Thrash Metal","https://open.spotify.com/search/Traitor%20Mad%20Dictator","70"
"Do","00:00-00:45","","Trapjaw","Thrash/Death Metal aus Bielefeld","https://open.spotify.com/search/Trapjaw%20Of%20Pain%20and%20Wisdom","60"
"Fr","14:00-14:40","","8-Ball Knees","pop punk metalcore","https://open.spotify.com/search/8-Ball%20Knees%20Take%20A%20Look%20Around","30"
"Fr","15:00-15:40","","Lupus","post hardcore aus Sachsen-Anhalt","https://open.spotify.com/search/Lupus%20post%20hardcore%20Sachsen-Anhalt","20"
"Fr","16:00-16:45","","Heavens Guard","symphonic metal FF","https://open.spotify.com/search/Heaven%27s%20Guard%20The%20Cause%20Of%20Destiny","20"
"Fr","17:05-17:55","","Paragon","Power/Speed Metal 90er Dirk Schneider vibes","https://open.spotify.com/search/Paragon%20The%20Unholy","70"
"Fr","18:15-19:10","","The Cryptex","Rock Progressive Rock Alternative Folk Metal aus SZ","https://open.spotify.com/search/The%20Cryptex%20Shades%20of%20You","30"
"Fr","19:30-20:30","","ArseA","Progressive Power Symphonic aus Rom","https://open.spotify.com/search/ArseA%20progressive%20metal","50"
"Fr","21:00-22:15","","Eden Weint Im Grab","Dark Metal / Gothic Metal aus Berlin; Kombi++","https://open.spotify.com/search/Eden%20Weint%20Im%20Grab%20Geysterstunde","50"
"Fr","22:45-00:00","","Obscurity","Melodic Death/Folk Metal; PS24!; Kombi++","https://open.spotify.com/search/Obscurity%20Skogarmaor","70"
"Fr","00:20-01:00","","Entgeist","Blackened Death Metal aus Heilbronn; Kombi++","https://open.spotify.com/search/Entgeist%20Res%20Gestae","80"
"Sa","14:00-14:40","","Iron & Stone","Doom Stoner Heavy Sludge aus Hildesheim","https://open.spotify.com/search/Iron%20and%20Stone%20Hildesheim","80"
"Sa","15:00-15:40","","Fatal Embrace","Thrash Metal 90er aus Berlin","https://open.spotify.com/search/Fatal%20Embrace%20Berlin%20thrash%20metal","80"
"Sa","16:00-16:45","","Path Of Destiny","Melodic Death Metal aus Thüringen","https://open.spotify.com/search/Path%20Of%20Destiny%20melodic%20death%20metal","70"
"Sa","17:05-17:50","","Orkrist","Symphonic Black/Gothic/Folk Metal aus Bratislava","https://open.spotify.com/search/Orkrist%20Bratislava","30"
"Sa","18:20-19:10","","Reliquiae","Rock Folk Metal Dudelsack aus Osnabrück","https://open.spotify.com/search/Reliquiae%20Freiheit","50"
"Sa","19:30-20:30","","Axenstar","Power Metal aus Schweden","https://open.spotify.com/search/Axenstar%20The%20Pain","70"
"Sa","21:00-22:15","","Bronze","FF Heavy Metal Sword and Sorcery aus Spanien und Schweden MERCH","https://open.spotify.com/search/Bronze%20heavy%20metal%20sword%20and%20sorcery","100"
"Sa","22:45-00:00","","Wolfchant","Pagan/Folk Metal (early); Folk/Melodic Death/Power Metal (later)","https://open.spotify.com/search/Wolfchant%20Call%20of%20the%20Black%20Winds","80"
"Sa","00:20-01:00","","Faithfully Mine","FF Metal aus Braunschweig","https://open.spotify.com/search/Faithfully%20Mine%20Braunschweig","60"

