"tage","zeiten","stage","bandname","genre","spotify-link","gscore"
"Do","13:45-14:30","Mainstage","Sarcator","Blackened Thrash Metal","https://open.spotify.com/search/Sarcator%20Ascend","0"
"Do","14:45-15:30","Mainstage","200 Stab Wounds","Death Metal","https://open.spotify.com/track/4h5TPn29GHMLZIrnZL0XRS","0"
"Do","15:20-15:55","Tentstage","Morbus Dei","Black Metal","https://open.spotify.com/search/Morbus%20Dei%20The%20World%20Left%20Behind","0"
"Do","15:45-16:30","Mainstage","IOTUNN","Progressive Melodic Death Metal","https://open.spotify.com/track/50WwHosxkj26BfmWN2Db1X","0"
"Do","16:20-16:55","Tentstage","Rats of Gomorrah","Death Metal","https://open.spotify.com/search/Rats%20of%20Gomorrah%20Swarming%20Death","0"
"Do","16:45-17:30","Mainstage","Misery Index","Death Metal / Grindcore","https://open.spotify.com/search/Misery%20Index%20The%20Carrion%20Call","0"
"Do","17:20-17:55","Tentstage","Messticator","Death / Thrash Metal","https://open.spotify.com/search/Messticator%20The%20Tyrants%20Scepter","0"
"Do","17:45-18:30","Mainstage","Sadistic Intent","Death Metal","https://open.spotify.com/search/Sadistic%20Intent%20Ritual%20Sacrifice","0"
"Do","18:25-19:00","Tentstage","TodoMal","Atmospheric Doom Metal","https://open.spotify.com/search/TodoMal%20Antichrist%20of%20Love","0"
"Do","18:50-19:35","Mainstage","Schirenc plays Pungent Stench","Death Metal","https://open.spotify.com/search/Pungent%20Stench%20Viva%20la%20Muerte","0"
"Do","19:30-20:05","Tentstage","Begging for Incest","Slam / Brutal Death Metal","https://open.spotify.com/search/Begging%20for%20Incest%20Torment","0"
"Do","19:55-20:40","Mainstage","Desaster","Black / Thrash Metal","https://open.spotify.com/search/Desaster%20Satans%20Soldiers%20Syndicate","0"
"Do","20:35-21:10","Tentstage","Evoken","Funeral Doom / Death Metal","https://open.spotify.com/search/Evoken%20Antithesis%20of%20Light","0"
"Do","21:00-22:00","Mainstage","Sventevith","Black Metal","https://open.spotify.com/search/Behemoth%20Sventevith%20Storming%20Near%20the%20Baltic","0"
"Do","21:50-22:30","Tentstage","Sear Bliss","Atmospheric Black Metal","https://open.spotify.com/search/Sear%20Bliss%20The%20Haunting","0"
"Do","22:20-23:20","Mainstage","Moonspell","Gothic Metal","https://open.spotify.com/search/Moonspell%20Alma%20Mater","0"
"Do","23:45-01:00","Mainstage","Testament","Thrash Metal","https://open.spotify.com/search/Testament%20Over%20the%20Wall","0"
"Fr","12:00-12:30","Mainstage","Guttural Slug","Slam / Brutal Death Metal","https://open.spotify.com/search/Guttural%20Slug%20Megachthon","0"
